User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?
0,1,2019,4,5,06:45,$31.37,Chip Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,
0,3,2020,2,4,13:57,$58.22,Online Transaction,-7.42109E+18, ONLINE,,,5311,
1802,0,2019,2,19,12:27,$240.84,Swipe Transaction,-7.81388E+17,Rome,Italy,,3009,
2,0,2020,1,14,06:36,$11.62,Chip Transaction,4.72291E+18,Alhambra,CA,91801,5411,
1,3,2019,5,24,15:13,$12.65,Chip Transaction,6.09856E+18,Elmhurst,NY,11373,4214,
1003,5,2019,9,28,16:15,$8.01,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,
1620,3,2019,9,2,13:39,$320.20,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
1,1,2019,11,2,10:16,$89.03,Chip Transaction,1.10189E+18,Little Neck,NY,11363,5310,
520,3,2019,2,23,11:08,$0.65,Chip Transaction,7.06958E+18,Rome,Italy,,5812,
0,3,2019,12,1,06:29,$125.44,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,
2,0,2019,7,18,23:18,$1.90,Chip Transaction,6.6665E+18,West Covina,CA,91792,5499,
2,0,2019,2,7,23:56,$1.15,Chip Transaction,6.6665E+18,West Covina,CA,91792,5499,
0,0,2019,2,16,09:41,$74.53,Chip Transaction,3.95215E+18,La Verne,CA,91750,7538,
165,0,2019,5,16,11:14,$249.90,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
1926,4,2019,6,13,10:53,$71.78,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
2,0,2020,2,11,06:58,$11.86,Chip Transaction,-5.86136E+18,West Covina,CA,91792,5912,
1,2,2019,9,11,20:15,$187.07,Chip Transaction,1.90253E+17,Hallettsville,TX,77964,3359,
0,3,2019,8,3,14:23,$3.38,Swipe Transaction,3.56025E+17,La Verne,CA,91750,5921,
1,3,2019,3,20,10:05,$75.27,Chip Transaction,-6.76107E+18,Corona,NY,11368,5310,
908,1,2019,10,1,19:06,$42.08,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,
1781,1,2019,5,21,15:20,$5.83,Chip Transaction,6.99836E+18,Rome,Italy,,5411,
1996,3,2019,7,1,11:15,$57.38,Chip Transaction,1.90253E+17,Rome,Italy,,3359,
370,0,2019,9,24,16:41,$89.51,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
2,1,2019,1,6,09:37,$45.53,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,3,2019,9,14,09:49,$64.37,Swipe Transaction,-3.34594E+18,La Verne,CA,91750,7538,
1,2,2019,7,30,18:31,$57.27,Chip Transaction,-7.05207E+18,Little Neck,NY,11363,5814,
1,1,2019,5,11,14:05,$488.00,Chip Transaction,-7.80705E+18,Rome,Italy,,3684,
1320,5,2019,8,8,18:23,$0.16,Chip Transaction,-4.75206E+18,Rome,Italy,,4214,
2,0,2019,5,17,14:52,$41.30,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1776,0,2019,9,17,11:00,$10.48,Chip Transaction,-4.75206E+18,Rome,Italy,,4214,
643,0,2019,4,4,11:07,$70.03,Chip Transaction,-3.39554E+18,Rome,Italy,,5311,"Bad PIN,Insufficient Balance,"
0,3,2019,10,28,06:44,$39.10,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
509,1,2019,1,4,15:12,$13.52,Swipe Transaction,1.79919E+18,Rome,Italy,,5499,
0,3,2019,4,20,07:36,$45.54,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,
0,3,2019,5,24,13:02,$206.81,Swipe Transaction,7.94533E+18,La Verne,CA,91750,4900,
1487,0,2019,8,6,10:54,$9.88,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
2,0,2020,2,9,14:39,$41.84,Online Transaction,-6.45844E+18, ONLINE,,,4784,
2,0,2019,8,3,14:46,$142.24,Swipe Transaction,-3.69365E+18,Alhambra,CA,91801,4814,
2,0,2019,9,26,05:06,$40.91,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,3,2019,7,26,07:29,$145.00,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
1,2,2019,8,8,18:59,$77.92,Chip Transaction,-7.61276E+18,Ogdensburg,NJ,7439,5812,
0,3,2019,2,16,05:03,$135.01,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,2,2019,6,2,06:56,$108.48,Chip Transaction,1.91348E+18,Fresh Meadows,NY,11366,5300,
0,2,2019,4,21,09:25,$72.95,Chip Transaction,4.05526E+18,La Verne,CA,91750,7538,
0,0,2019,12,2,06:21,$135.58,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
2,0,2020,2,20,09:38,$50.66,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,1,2019,8,26,09:58,$73.19,Chip Transaction,-3.34594E+18,La Verne,CA,91750,7538,
0,3,2019,8,8,06:13,$127.83,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,
0,2,2019,9,10,06:18,$119.24,Online Transaction,7.0356E+18, ONLINE,,,5311,
450,0,2019,4,4,12:36,$257.00,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
1,2,2019,5,7,06:29,$14.05,Chip Transaction,1.79919E+18,Little Neck,NY,11363,5499,
2,0,2020,1,28,14:30,$66.74,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,3,2020,1,6,23:31,$128.30,Swipe Transaction,-1.12121E+17,Brownsville,TX,78520,3509,
1790,0,2019,3,19,13:51,$9.45,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
1002,1,2019,6,20,16:33,$17.32,Chip Transaction,-7.27612E+17,Rome,Italy,,5411,
182,0,2019,1,26,12:42,$86.00,Chip Transaction,-5.16204E+18,Rome,Italy,,5541,
2,0,2020,1,10,09:32,$49.66,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,3,2019,9,20,06:58,$38.28,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,
914,4,2019,1,26,13:08,$117.51,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,"Bad PIN,"
190,2,2019,8,29,17:57,$18.66,Chip Transaction,-7.5187E+18,Rome,Italy,,5813,
901,1,2019,4,19,15:29,$54.85,Chip Transaction,9.05774E+18,Rome,Italy,,5311,
2,0,2019,11,6,14:05,$118.04,Chip Transaction,-3.63592E+18,West Covina,CA,91792,8041,
50,2,2019,4,20,18:28,$1.78,Chip Transaction,-6.01867E+18,Rome,Italy,,5947,
441,0,2019,6,25,17:58,$0.64,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
0,3,2019,2,12,06:18,$117.18,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
0,1,2019,7,17,14:17,$59.79,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
2,0,2019,8,22,06:42,$12.14,Chip Transaction,-5.47568E+18,Spring Valley,CA,91977,5942,
0,1,2019,11,11,06:47,$25.54,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,1,2020,2,4,05:37,$17.56,Online Transaction,-2.04205E+18, ONLINE,,,5815,
0,1,2019,4,17,19:37,$15.68,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
1734,5,2019,6,29,11:14,$33.43,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,
854,3,2019,10,1,18:06,$92.51,Chip Transaction,9.05774E+18,Rome,Italy,,5311,
0,2,2019,6,7,16:52,$153.79,Chip Transaction,-2.45178E+17,La Verne,CA,91750,5311,
0,0,2019,10,27,06:29,$137.30,Chip Transaction,-2.45178E+17,La Verne,CA,91750,5311,
1236,2,2019,1,15,14:29,$11.17,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
1945,1,2019,9,24,18:23,$3.97,Chip Transaction,-7.27612E+17,Rome,Italy,,5411,"Bad PIN,"
1049,1,2019,9,3,18:38,$144.00,Chip Transaction,-7.80705E+18,Rome,Italy,,3684,
0,0,2019,5,9,13:30,$60.60,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,2,2020,1,14,18:53,$76.47,Chip Transaction,-5.0235E+18,Little Neck,NY,11363,5812,
1304,4,2019,3,21,17:45,$288.00,Chip Transaction,-7.80705E+18,Rome,Italy,,3684,
1717,4,2019,8,2,18:58,$70.52,Swipe Transaction,-3.15872E+18,Rome,Italy,,5812,
165,0,2019,5,24,14:54,$44.35,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
2,0,2019,6,23,09:52,$42.55,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1249,3,2019,6,13,14:41,$4.41,Chip Transaction,-8.40529E+18,Rome,Italy,,5651,
0,3,2019,2,18,06:51,$138.47,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
0,3,2019,5,4,06:57,$36.47,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
785,0,2019,6,6,19:22,$3.16,Chip Transaction,7.06958E+18,Rome,Italy,,5812,
1945,1,2019,10,4,11:59,$125.24,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
2,0,2019,7,14,10:50,$13.16,Chip Transaction,-4.89106E+18,West Covina,CA,91792,5411,
0,0,2019,2,20,13:07,$12.94,Chip Transaction,-4.50054E+18,La Verne,CA,91750,5814,
2,0,2019,12,25,22:17,$37.38,Chip Transaction,-6.03533E+18,Alhambra,CA,91801,5812,
0,1,2019,7,24,19:17,$10.40,Chip Transaction,8.08093E+18,Monterey Park,CA,91754,5310,
41,1,2019,8,23,18:41,$13.90,Chip Transaction,6.99836E+18,Rome,Italy,,5411,
0,2,2019,4,4,06:42,$44.28,Chip Transaction,-3.45515E+16,La Verne,CA,91750,5912,
0,1,2019,11,25,20:29,$89.93,Chip Transaction,2.59357E+18,New York,NY,10116,5812,
658,0,2019,9,28,11:14,$78.51,Chip Transaction,6.99836E+18,Rome,Italy,,5411,
0,1,2019,11,9,13:00,$8.94,Chip Transaction,-4.50054E+18,La Verne,CA,91750,5814,
2,0,2019,2,23,09:52,$42.32,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1926,4,2019,5,28,18:33,$23.74,Chip Transaction,4.11333E+18,Rome,Italy,,5814,
1,1,2019,12,19,03:23,$81.55,Swipe Transaction,1.27047E+18,Waianae,HI,96792,3730,
0,3,2019,9,19,06:04,$120.04,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,"Insufficient Balance,"
777,2,2019,7,26,11:15,$36.51,Chip Transaction,-8.40529E+18,Rome,Italy,,5651,
0,3,2019,6,5,09:47,$62.01,Swipe Transaction,4.05526E+18,La Verne,CA,91750,7538,
2,0,2020,2,14,03:56,$43.04,Online Transaction,-6.45844E+18, ONLINE,,,4784,
41,1,2019,8,24,14:05,$100.57,Chip Transaction,3.41453E+18,Rome,Italy,,5651,
0,0,2019,5,27,13:49,$66.81,Chip Transaction,-3.22076E+18,Spring Valley,CA,91978,5311,
0,1,2019,4,1,06:12,$194.62,Chip Transaction,3.52721E+18,La Verne,CA,91750,5300,
2,0,2019,10,14,09:36,$32.25,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,1,2019,8,23,06:57,$18.15,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
450,0,2019,4,4,14:40,$-275.00,Chip Transaction,1.7153E+18,Rome,Italy,,3722,
1206,0,2019,9,10,17:48,$336.00,Chip Transaction,4.8349E+17,Rome,Italy,,3504,
1,1,2019,6,16,08:01,$92.00,Chip Transaction,1.79919E+18,Little Neck,NY,11363,5499,
1978,0,2019,4,18,17:41,$13.20,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
785,0,2019,5,18,17:35,$241.00,Chip Transaction,-3.36283E+18,Rome,Italy,,7011,
1249,3,2019,6,29,11:45,$250.00,Chip Transaction,1.7153E+18,Rome,Italy,,3722,
0,3,2019,5,21,11:53,$43.21,Swipe Transaction,-3.03858E+17,La Verne,CA,91750,5251,
0,1,2020,2,2,11:53,$1.07,Chip Transaction,6.6665E+18,La Verne,CA,91750,5499,
0,3,2019,8,6,20:22,$93.51,Swipe Transaction,-4.50054E+18,La Verne,CA,91750,5814,
205,2,2019,10,5,12:03,$150.73,Chip Transaction,-3.36283E+18,Rome,Italy,,7011,
0,0,2019,1,26,06:03,$82.98,Chip Transaction,1.91348E+18,La Verne,CA,91750,5300,
0,2,2019,6,23,16:46,$7.24,Chip Transaction,-8.68256E+16,La Verne,CA,91750,7230,
0,0,2019,10,21,13:15,$14.34,Chip Transaction,-8.7334E+18,Detroit,MI,48204,5814,
0,0,2020,2,10,20:14,$14.16,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
840,3,2019,1,5,11:51,$5.35,Chip Transaction,-7.27612E+17,Rome,Italy,,5411,
2,0,2019,7,21,14:39,$56.69,Online Transaction,-6.45844E+18, ONLINE,,,4784,
2,0,2019,7,18,10:57,$13.01,Swipe Transaction,2.02755E+18,West Covina,CA,91792,5541,
165,0,2019,5,16,13:35,$105.17,Chip Transaction,7.06958E+18,Rome,Italy,,5812,
0,3,2019,11,5,06:07,$103.24,Swipe Transaction,-2.45178E+17,La Verne,CA,91750,5311,
0,0,2019,9,2,06:24,$134.88,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,2,2020,1,9,21:21,$145.86,Chip Transaction,-1.12121E+17,Beijing,China,,3509,
0,1,2019,6,3,06:19,$154.80,Chip Transaction,1.91348E+18,La Verne,CA,91750,5300,
1,2,2019,6,11,13:38,$104.49,Chip Transaction,-6.73834E+18,Corona,NY,11368,7538,
0,0,2019,1,13,06:02,$159.13,Chip Transaction,-3.45515E+16,La Verne,CA,91750,5912,
1,2,2020,1,2,06:51,$114.89,Chip Transaction,-6.76107E+18,Corona,NY,11368,5310,
410,1,2019,9,20,13:18,$22.05,Chip Transaction,6.66197E+18,Rome,Italy,,5211,
0,1,2019,5,18,06:17,$133.74,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
0,3,2019,7,29,06:55,$36.80,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
946,1,2019,5,18,13:41,$900.44,Chip Transaction,-3.94366E+18,Rome,Italy,,5712,
764,1,2019,1,4,15:24,$19.00,Chip Transaction,-8.83014E+18,Rome,Italy,,5211,
0,2,2019,9,19,13:11,$64.61,Chip Transaction,-1.28808E+18,La Verne,CA,91750,5499,
1885,1,2019,7,25,15:31,$8.20,Chip Transaction,3.18952E+18,Rome,Italy,,5311,
1709,2,2019,4,30,11:36,$60.98,Swipe Transaction,7.48862E+18,Rome,Italy,,5651,
1776,2,2019,1,29,13:49,$3.57,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
1641,1,2019,5,31,19:31,$94.72,Chip Transaction,2.91975E+18,Rome,Italy,,5932,
0,0,2019,6,25,06:12,$138.29,Chip Transaction,2.02755E+18,Mira Loma,CA,91752,5541,
597,0,2019,10,4,12:08,$126.15,Chip Transaction,9.05774E+18,Rome,Italy,,5311,
441,0,2019,6,25,10:18,$44.17,Chip Transaction,1.90253E+17,Rome,Italy,,3359,
1885,1,2019,8,3,14:00,$5.02,Chip Transaction,-8.40529E+18,Rome,Italy,,5651,
0,3,2019,8,16,06:46,$43.04,Swipe Transaction,5.81722E+18,La Verne,CA,91750,5912,
1709,2,2019,5,3,12:37,$31.24,Swipe Transaction,2.02755E+18,Rome,Italy,,5541,
1,1,2019,7,18,13:53,$106.50,Chip Transaction,-6.73834E+18,Corona,NY,11368,7538,
0,3,2019,8,6,06:29,$142.38,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
0,3,2019,10,3,06:12,$110.03,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,
0,1,2019,11,5,13:34,$60.10,Chip Transaction,-3.22076E+18,Spring Valley,CA,91978,5311,
2,0,2020,2,21,04:25,$61.08,Online Transaction,-6.45844E+18, ONLINE,,,4784,
165,0,2019,5,30,19:35,$171.83,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
0,0,2020,2,18,06:10,$119.87,Chip Transaction,4.06065E+18,La Verne,CA,91750,5411,
2,0,2019,10,6,09:32,$47.45,Online Transaction,-6.45844E+18, ONLINE,,,4784,
0,0,2019,9,26,06:28,$132.61,Chip Transaction,5.81722E+18,La Verne,CA,91750,5912,
1,1,2019,3,12,08:27,$93.00,Chip Transaction,-5.16204E+18,Little Neck,NY,11363,5541,
0,2,2020,2,8,13:54,$68.86,Chip Transaction,-8.12952E+18,La Verne,CA,91750,5211,
406,1,2019,10,4,11:59,$11.42,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
0,2,2019,12,26,07:03,$111.11,Chip Transaction,3.52721E+18,La Verne,CA,91750,5300,
1576,3,2019,5,21,11:16,$7.87,Chip Transaction,-7.27612E+17,Rome,Italy,,5411,
114,1,2019,10,10,15:16,$8.47,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
509,1,2019,1,4,15:18,$86.00,Swipe Transaction,1.79919E+18,Rome,Italy,,5499,
1776,2,2019,1,29,13:53,$66.15,Chip Transaction,3.41453E+18,Rome,Italy,,5651,
0,3,2019,3,31,06:51,$45.02,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
0,2,2019,12,19,06:53,$37.16,Chip Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,
0,2,2019,4,26,09:59,$52.41,Chip Transaction,4.05526E+18,La Verne,CA,91750,7538,
2,0,2019,6,4,23:56,$1.78,Chip Transaction,6.6665E+18,West Covina,CA,91792,5499,
0,3,2020,2,9,07:14,$34.88,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,
0,3,2020,1,19,13:03,$12.14,Swipe Transaction,2.02755E+18,Mira Loma,CA,91752,5541,
1571,4,2019,3,28,13:05,$2.48,Chip Transaction,9.05774E+18,Rome,Italy,,5311,
0,1,2019,9,28,06:00,$134.71,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
768,1,2019,4,9,16:40,$177.88,Chip Transaction,4.57388E+18,Rome,Italy,,5045,
2,0,2019,12,2,04:42,$39.41,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1201,3,2019,5,23,14:59,$49.68,Swipe Transaction,-8.40529E+18,Rome,Italy,,5651,
0,2,2019,12,14,06:27,$119.77,Chip Transaction,1.91348E+18,La Verne,CA,91750,5300,
0,2,2019,5,17,06:26,$156.87,Chip Transaction,3.52721E+18,La Verne,CA,91750,5300,
1366,1,2019,6,8,13:56,$6.10,Chip Transaction,-1.28808E+18,Rome,Italy,,5499,
0,3,2019,10,22,13:25,$63.00,Swipe Transaction,-4.33423E+18,Highland Park,MI,48203,5541,
1,1,2019,7,2,05:05,$16.33,Online Transaction,6.45521E+18, ONLINE,,,5815,"Insufficient Balance,"
854,3,2019,10,3,18:55,$126.77,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
2,0,2019,2,22,14:37,$41.93,Online Transaction,-6.45844E+18, ONLINE,,,4784,
1455,1,2019,2,1,16:35,$398.56,Chip Transaction,-3.94366E+18,Rome,Italy,,5712,
913,0,2019,2,5,16:21,$2.37,Chip Transaction,-8.90095E+18,Rome,Italy,,5621,
1298,2,2019,9,3,17:09,$42.50,Swipe Transaction,5.12297E+17,Rome,Italy,,7230,
1780,3,2019,6,14,11:33,$93.00,Swipe Transaction,-1.28808E+18,Rome,Italy,,5499,"Bad PIN,"
126,0,2019,8,15,11:30,$25.85,Chip Transaction,-1.28808E+18,Rome,Italy,,5499,
0,3,2019,1,15,06:07,$112.50,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,
0,3,2019,9,12,06:08,$129.84,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,
0,2,2019,6,6,20:14,$71.07,Chip Transaction,-5.0235E+18,Mira Loma,CA,91752,5812,
0,3,2019,11,16,06:28,$100.73,Swipe Transaction,4.06065E+18,La Verne,CA,91750,5411,
1,1,2019,4,6,04:54,$149.56,Chip Transaction,-6.09472E+18,Little Neck,NY,11363,4900,
1103,1,2019,3,16,12:55,$95.02,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
822,3,2019,7,30,19:31,$4.25,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
0,0,2019,8,22,06:35,$39.19,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,
1478,3,2019,5,31,11:51,$94.10,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
1717,4,2019,8,9,09:33,$-290.00,Swipe Transaction,-7.80705E+18,Rome,Italy,,3684,
162,2,2019,7,5,10:53,$-167.00,Swipe Transaction,4.8349E+17,Rome,Italy,,3504,
1731,0,2019,8,8,15:30,$116.00,Chip Transaction,4.57388E+18,Rome,Italy,,5045,"Bad PIN,"
1,1,2019,9,19,08:00,$92.00,Chip Transaction,-5.16204E+18,Little Neck,NY,11363,5541,
773,0,2019,1,8,17:46,$33.33,Chip Transaction,9.05774E+18,Rome,Italy,,5311,
1169,4,2019,8,17,13:11,$69.40,Chip Transaction,-8.31922E+18,Rome,Italy,,5661,
365,2,2019,5,7,14:51,$44.69,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
0,0,2019,2,24,06:26,$139.51,Online Transaction,-7.42109E+18, ONLINE,,,5311,
1476,0,2019,2,16,16:33,$14.14,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
1163,5,2019,1,31,14:11,$75.96,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
0,2,2019,2,19,06:43,$35.24,Chip Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,"Bad PIN,"
736,0,2019,10,19,14:18,$6.79,Chip Transaction,5.50735E+18,Rome,Italy,,4121,
1977,0,2019,10,17,19:37,$4.15,Chip Transaction,-2.45178E+17,Rome,Italy,,5311,
628,0,2019,7,16,18:20,$8.84,Chip Transaction,6.66197E+18,Rome,Italy,,5211,
1983,4,2019,8,20,17:31,$1.38,Chip Transaction,-1.6423E+18,Rome,Italy,,5912,
2,0,2019,12,5,10:00,$41.41,Online Transaction,-6.45844E+18, ONLINE,,,4784,
410,1,2019,9,10,17:15,$3.25,Chip Transaction,-7.14667E+18,Rome,Italy,,5970,
1607,3,2019,10,22,11:27,$83.74,Chip Transaction,6.0514E+18,Rome,Italy,,5310,
2,0,2019,9,26,08:00,$7.23,Chip Transaction,-6.03533E+18,Alhambra,CA,91801,5812,
1885,1,2019,7,6,11:09,$44.86,Chip Transaction,3.18952E+18,Rome,Italy,,5311,
1,1,2019,1,25,06:37,$15.02,Chip Transaction,1.79919E+18,Little Neck,NY,11363,5499,
729,6,2019,10,24,17:24,$84.96,Chip Transaction,2.02755E+18,Rome,Italy,,5541,
0,1,2019,4,18,05:48,$86.14,Chip Transaction,3.52721E+18,La Verne,CA,91750,5300,
0,3,2019,5,6,06:55,$42.85,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,
0,3,2020,1,7,06:07,$129.17,Swipe Transaction,3.52721E+18,La Verne,CA,91750,5300,
1683,1,2019,9,27,10:54,$284.00,Chip Transaction,-6.16179E+18,Rome,Italy,,3389,
2,0,2019,9,23,10:01,$35.41,Online Transaction,-6.45844E+18, ONLINE,,,4784,
2,0,2019,9,16,10:18,$67.61,Chip Transaction,-1.36149E+18,Rosemead,CA,91772,4111,
2,0,2019,2,19,13:21,$115.28,Chip Transaction,-2.63745E+18,West Covina,CA,91792,5651,
1572,3,2019,3,14,10:50,$74.64,Chip Transaction,6.66197E+18,Rome,Italy,,5211,
1242,4,2019,9,5,12:03,$40.71,Chip Transaction,6.99836E+18,Rome,Italy,,5411,
1683,1,2019,9,28,14:13,$136.30,Chip Transaction,-8.83014E+18,Rome,Italy,,5211,
745,1,2019,10,8,16:28,$6.47,Swipe Transaction,-3.39554E+18,Rome,Italy,,5311,
0,1,2019,1,29,06:27,$118.10,Chip Transaction,2.02755E+18,Mira Loma,CA,91752,5541,
1129,0,2019,5,23,16:16,$45.59,Chip Transaction,-8.40529E+18,Rome,Italy,,5651,
